Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Sfera Sveta 58503/4 WHITE - 94823;4890;230;Sfera Sveta;500;50;белый;белый;1;40;40;хай-тек;LED
Люстра ST Luce SL959.203.08 - 48877;19700;220;ST Luce;650;115;золото;белый;8;40;64;модерн;LED
Люстра De Markt 703011101 - 66512;9640;230;De Markt;400;200;черный;белый;1;20;20;модерн;LED
Люстра Odeon Light  4972/5C - 208246;22120;220;Odeon Light;520;290;хром;прозрачный;5;40;200;модерн;E27
Люстра ST Luce SL350.582.12 - 11435;19700;230;ST Luce;900;300;хром;коричневый;12;40;480;модерн;E14
Люстра ST Luce SL944.202.02 - 116002;19500;230;ST Luce;600;190;золото;белый;2;20;34;хай-тек;LED
Люстра Sfera Sveta 0095-6 144W WH SD - 95309;6690;220;Sfera Sveta;650;110;белый;белый;1;40;64;хай-тек;LED
Люстра Lumion 4561/6C - 199309;4000;220;Lumion;650;290;хром;прозрачный;6;40;240;модерн;E14
Люстра Lumion 4561/8C - 199310;5800;220;Lumion;760;310;хром;прозрачный;8;40;320;модерн;E14
Люстра Lightstar 691064 - 39329;29000;220;Lightstar;640;1780;хром;бежевый;6;40;240;хай-тек;E14
Люстра Evoluce SL418.102.07 - 112510;9900;220;Evoluce;930;300;серебро;белый;7;60;64;модерн;E27
Люстра Lumion 4561/4C - 199308;3600;220;Lumion;550;290;хром;прозрачный;4;40;160;модерн;E14
Люстра Lightstar 815460 - 243234;29000;220;Lightstar;760;600;черный;белый;6;40;240;арт-деко;E14
Люстра Lumion 4563/8C - 199319;7800;220;Lumion;1100;500;черный;бежевый;8;40;320;модерн;E14
Люстра Vitaluce V5350-8/5 - 186445;34200;220;Vitaluce;410;1630;золото;коньячный;5;40;200;хрусталь;E14
Люстра ST Luce SL923.203.12 - 38435;25000;220;ST Luce;640;370;золото;белый;1;70;70;модерн;LED
Люстра ST Luce SL1099.202.05 - 151668;4900;220;ST Luce;400;340;золото;прозрачный;5;3;15;модерн;G9
Люстра Lumion 4564/5C - 190942;5300;220;Lumion;610;430;черный;серый;5;60;300;кантри;E27
Люстра MW-Light 447010306 - 51829;39670;220;MW-Light;480;560;хром;прозрачный;6;40;240;классика;E14
Люстра Reccagni Angelo PL. 9801/5 - 111403;28080;220;Reccagni Angelo;600;320;никель;дымчатый;5;60;300;классика;E27
Люстра Arte lamp A9273LM-5AB - 49588;15260;220;Arte lamp;800;350;бронза;прозрачный;5;60;15;лофт;E27
Люстра Lumion 3532/5C - 97318;9990;220;Lumion;750;500;черный;черный;5;60;300;хай-тек;E27
Люстра ST Luce SL902.053.01D - 80603;7700;220;ST Luce;450;70;белый;белый;1;60;24;хай-тек;LED
Люстра Sfera Sveta 37327/8 FG - 240898;2990;220;Sfera Sveta;760;330;золото;белый;8;40;320;хай-тек;E14
Люстра Loft IT 10138/600 - 284219;32200;220-240;Loft IT;600;280;золото;черный;6;5;30;модерн;E27
Люстра Loft IT 10137/720 Chrome - 264933;26320;220-240;Loft IT;780;1150;хром;прозрачный;18;5;90;модерн;G9
Люстра Loft IT 10137/720 Gold - 264934;27160;220-240;Loft IT;780;1150;золото;серый;18;5;90;модерн;G9
Люстра Loft IT 10191/8 Black - 276435;10240;220;Loft IT;760;990;черный;белый;8;24;192;модерн;G9
Люстра Loft IT 10138/1200 - 284218;51520;220-240;Loft IT;600;380;золото;черный;7;5;35;модерн;E27
Люстра Loft IT 10137/600C Chrome - 264931;10920;220-240;Loft IT;600;350;хром;прозрачный;9;5;45;модерн;G9
Люстра Loft IT 10137/600 Chrome - 264929;16520;220-240;Loft IT;600;1120;хром;серый;12;5;60;модерн;G9
Люстра Loft IT 10137/600 Gold - 264930;17920;220-240;Loft IT;600;1120;золото;прозрачный;12;5;60;модерн;G9
Люстра Loft IT 10191/8 Gold - 276436;10240;220;Loft IT;760;990;золото;белый;8;24;192;модерн;G9
Люстра Loft IT 10138/800 - 284220;40880;220-240;Loft IT;760;360;золото;черный;10;5;50;модерн;E27
Люстра Loft IT 10137/600C Gold - 264932;11480;220-240;Loft IT;600;350;золото;серый;9;5;45;модерн;G9
Люстра Loft IT 10191/6 Black - 276433;7600;220;Loft IT;600;990;черный;белый;6;24;144;модерн;G9
Люстра Odeon Light  4995/50L - 264243;26020;220;Odeon Light;760;1500;золото;белый;1;50;50;модерн;LED
Люстра Odeon Light  5026/8 - 264333;11540;220;Odeon Light;870;965;черный;прозрачный;8;40;320;модерн;E14
