Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Lumion 4554/10C - 199283;9900;220;Lumion;870;510;хром;белый;10;40;400;модерн;E14
Люстра Loft IT 9022-243W - 172521;73900;220;Loft IT;1600;230;белый;белый;243;0.3;72.9;арт-деко;LED
Люстра Loft IT 9022-45 - 172528;20160;220;Loft IT;720;530;медь;белый;45;0.3;14;арт-деко;LED
Люстра Loft IT 9022-162S - 172518;48450;220;Loft IT;1000;230;серебро;белый;162;0.3;48;арт-деко;LED
Люстра Loft IT LOFT1896/8 - 172697;41560;220;Loft IT;770;820;хром;хром;8;40;320;лофт;E14
Люстра Loft IT 9022-63W - 172533;29960;220;Loft IT;980;650;белый;белый;63;0.3;19;арт-деко;LED
Люстра Loft IT LOFT1832P-12 - 172667;6810;220;Loft IT;530;900;черный;хром;12;40;480;лофт;E27
Люстра Loft IT 9022-45W - 172530;21840;220;Loft IT;720;530;белый;белый;45;0.3;14;арт-деко;LED
Люстра Loft IT 9022-108S - 172515;36480;220;Loft IT;800;230;серебро;белый;108;0.3;32;арт-деко;LED
Люстра Favourite 2773-6P - 190420;15000;220;Favourite;820;405;латунь;прозрачный;6;40;240;кантри;E14
Люстра Loft IT LOFT1193-4 - 172614;15160;220;Loft IT;350;1000;хром;хром;4;40;160;лофт;E14
Люстра Loft IT 9022-162W - 172519;48450;220;Loft IT;1000;230;белый;белый;162;0.3;48.6;арт-деко;LED
Люстра Lussole LSP-8345 - 147609;7500;220;Lussole;800;30;хром;белый;2;36;72;хай-тек;LED
Люстра Arti Lampadari Amelia E 1.6.6.502 GB - 5968;59740;220;Arti Lampadari;640;700;золото;хром;6;40;240;классика;E14
Люстра Odeon Light  4811/6C - 155978;27180;220;Odeon Light;480;420;хром;прозрачный;6;40;240;модерн;E14
Люстра Dio D Arte Lodi E 1.2.50.100 A - 43341;48220;220;Dio D Arte;500;300;бронза;прозрачный;6;60;360;классика;E27
Люстра ST Luce SL659.203.06 - 167589;14550;220;ST Luce;580;450;шампань;коньячный;6;40;240;классика;E14
Люстра Dio D Arte Unico E 1.12.42.600 G - 43347;54790;220;Dio D Arte;420;480;золото;прозрачный;6;40;240;модерн;E14
Люстра Dio D Arte Bari E 1.2.60.100 G - 43343;72620;220;Dio D Arte;600;350;золото;прозрачный;8;60;480;классика;E27
Люстра Lightstar 742203 - 106784;61080;220;Lightstar;2200;1300;золото;белый;20;40;800;модерн;G9
Люстра Dio D Arte Bari E 1.2.80.100 G - 43344;116680;220;Dio D Arte;800;400;золото;прозрачный;10;60;600;классика;E27
Люстра Dio D Arte Lodi E 1.6.6.600 A - 43342;120150;220;Dio D Arte;730;700;бронза;прозрачный;6;60;360;классика;E27
Люстра Odeon Light  4811/6 - 155977;28010;220;Odeon Light;480;405;хром;прозрачный;6;40;240;модерн;E14
Люстра Arti Lampadari Loreto E 1.5.40.600 G - 34842;22660;220;Arti Lampadari;400;210;золото;прозрачный;6;60;360;модерн;E27
Люстра Lightstar 751027 - 86927;39000;220;Lightstar;750;600;черный;белый;12;20;240;модерн;G4
Люстра Arti Lampadari Sabina E 1.5.32.100 G - 77230;29730;220;Arti Lampadari;370;320;золото;прозрачный;5;40;200;классика;E14
Люстра Arti Lampadari Asti E 1.5.50.600 G - 43336;58300;220;Arti Lampadari;580;580;золото;прозрачный;6;60;360;классика;E27
Люстра Arti Lampadari Salentino E 1.5.60.100 N - 77227;62130;220;Arti Lampadari;600;450;матовый никель;прозрачный;10;40;400;классика;E14
Люстра Arti Lampadari Rozzano E 1.5.40.600 G - 34838;22660;220;Arti Lampadari;40;260;золото;прозрачный;4;60;240;модерн;E27
Люстра Arti Lampadari Salentino E 1.5.60.100 G - 77226;62130;220;Arti Lampadari;600;450;золото;прозрачный;10;40;400;классика;E14
Люстра Arti Lampadari Salentino E 1.5.80.100 N - 77229;97770;220;Arti Lampadari;800;600;матовый никель;прозрачный;16;40;640;классика;E14
Люстра Arti Lampadari Ovada E 1.5.40.100 N - 77235;44650;220;Arti Lampadari;390;350;матовый никель;прозрачный;6;40;240;классика;E14
Люстра Arti Lampadari Loreto E 1.5.40.600 N - 34837;22660;220;Arti Lampadari;400;210;матовый никель;прозрачный;6;60;360;модерн;E27
Люстра Arti Lampadari Salentino E 1.5.40.100 G - 77224;32230;220;Arti Lampadari;400;400;золото;прозрачный;5;40;200;классика;E14
Люстра Arti Lampadari Alanno E 1.5.50.100 N - 66291;77660;220;Arti Lampadari;480;370;матовый никель;прозрачный;8;40;320;классика;E14
Люстра Arti Lampadari Castellana E 1.3.30.601 N - 27073;24130;220;Arti Lampadari;300;230;матовый никель;прозрачный;4;60;240;классика;E27
Люстра Arti Lampadari Castellana E 1.2.25.501 G - 14298;18070;220;Arti Lampadari;250;400;золото;прозрачный;3;40;120;классика;E14
Люстра Arti Lampadari Alanno E 1.5.60.100 N - 66292;104560;220;Arti Lampadari;600;450;матовый никель;прозрачный;12;40;480;классика;E14
Люстра Arti Lampadari Alanno E 1.5.30.100 N - 66289;34080;220;Arti Lampadari;300;300;матовый никель;прозрачный;4;40;160;классика;G9
Люстра Arti Lampadari Flusso H 1.4.25.615 N - 24658;12770;220;Arti Lampadari;250;450;матовый никель;прозрачный;3;40;120;модерн;G9
Люстра Arti Lampadari Nobile E 1.3.45.501 G - 14297;22660;220;Arti Lampadari;450;300;золото;прозрачный;6;60;360;классика;E27
Люстра Arti Lampadari Bellagio E 1.5.50.100 N - 66288;42180;220;Arti Lampadari;480;520;матовый никель;прозрачный;6;40;240;классика;E14
Люстра Arti Lampadari Bellagio E 1.5.40.100 N - 66287;33190;220;Arti Lampadari;400;500;матовый никель;прозрачный;4;40;160;классика;E14
Люстра Arti Lampadari Lazio E 1.9.35.502 G - 27078;91940;220;Arti Lampadari;350;2630;золото;прозрачный;20;60;1200;модерн;E27
Люстра Arti Lampadari Bellagio E 1.5.30.100 N - 66285;26320;220;Arti Lampadari;300;380;матовый никель;прозрачный;4;40;160;классика;G9
Люстра Arti Lampadari Brancati L 1.4.60.501 N - 20008;36780;220;Arti Lampadari;600;100;матовый никель;прозрачный;12;10;120;модерн;LED
Люстра Arti Lampadari Latera E 1.1.6 S - 34965;29190;220;Arti Lampadari;630;450;серебро;прозрачный;6;40;240;классика;E14
Люстра Arti Lampadari Bellagio E 1.5.40.100 G - 66286;33190;220;Arti Lampadari;400;500;золото;прозрачный;4;40;160;классика;E14
Люстра Arti Lampadari Milano E 1.5.50.501 N - 33220;31600;220;Arti Lampadari;50;300;матовый никель;прозрачный;8;40;320;модерн;G9
Люстра Dio D Arte Cremono E 1.3.14.100 N - 41492;16580;220;Dio D Arte;140;380;матовый никель;прозрачный;1;60;60;классика;E27
Люстра Arti Lampadari Alanno E 1.5.40.100 N - 66290;51110;220;Arti Lampadari;400;340;матовый никель;прозрачный;6;40;240;классика;E14
Люстра Arti Lampadari Milano E 1.5.120X30.501 N - 33219;55530;220;Arti Lampadari;120;250;матовый никель;прозрачный;10;40;400;модерн;G9
Люстра Arti Lampadari Santa E 1.2.60.600 N - 41490;44230;220;Arti Lampadari;600;350;матовый никель;прозрачный;8;60;480;классика;E27
Люстра Dio D Arte Carisio E 1.1.18.200 GB - 32873;161360;220;Dio D Arte;1120;580;золото;прозрачный;18;40;720;классика;E14
Люстра Dio D Arte Sorrento E 1.1.10.200 A - 29615;147240;220;Dio D Arte;680;640;бронза;прозрачный;10;40;400;классика;E14
Люстра Odeon Light  4121/10 - 97944;22990;220;Odeon Light;550;220;золото;прозрачный;10;40;400;классика;E14
Люстра Arti Lampadari Milano E 1.5.D50.501 N - 33221;25010;220;Arti Lampadari;500;300;матовый никель;прозрачный;8;40;320;модерн;G9
Люстра Dio D Arte Bari E 1.2.45.100 N - 41491;52080;220;Dio D Arte;450;300;матовый никель;прозрачный;6;60;360;классика;E27
Люстра Odeon Light  4121/8 - 97945;19130;220;Odeon Light;450;220;золото;прозрачный;8;40;320;классика;E14
Люстра Odeon Light  4123/12 - 97947;23340;220;Odeon Light;450;425;золото;прозрачный;12;40;480;классика;E14
Люстра Dio D Arte Lodi E 1.8.100.100 MA - 45093;193340;220;Dio D Arte;1000;450;бронза;прозрачный;16;60;960;классика;E27
Люстра Dio D Arte Bari E 1.3.25.299 G - 24680;20600;220;Dio D Arte;250;250;золото;прозрачный;1;60;60;классика;E27
Люстра Arti Lampadari Napoli E 1.5.46.501 N - 44792;38870;220;Arti Lampadari;460;540;матовый никель;прозрачный;6;60;360;модерн;E27
Люстра Dio D Arte Bari E 1.5.60.100 G - 45096;103680;220;Dio D Arte;600;680;золото;прозрачный;8;60;480;классика;E27
Люстра Arti Lampadari Santa E 1.8.80.600 GB - 45951;86760;220;Arti Lampadari;820;400;золото;прозрачный;8;60;480;классика;E27
Люстра Dio D Arte Lodi E 1.6.8.600 A - 34590;153740;220;Dio D Arte;810;750;бронза;прозрачный;8;40;320;классика;E14
Люстра Lucia Tucci BARLETTA 122.60 coffe gold - 24749;768980;220;Lucia Tucci;1480;2055;золото;прозрачный;60;60;3600;классика;E14
Люстра Arti Lampadari Valencia E 1.10.50.501 N - 34315;134160;220;Arti Lampadari;500;1670;матовый никель;прозрачный;23;60;1380;модерн;E27
Люстра Dio D Arte Unico E 1.12.42.101 G - 44982;71810;220;Dio D Arte;420;480;золото;разноцветный;6;40;240;модерн;E14
Люстра Dio D Arte Ancona E 1.6.6.600 GB - 34591;62420;220;Dio D Arte;700;800;золото;прозрачный;6;40;240;классика;E14
Люстра Dio D Arte Alessandria E 1.1.16.600 G - 46657;84660;220;Dio D Arte;700;600;золото;прозрачный;16;40;640;классика;E14
Люстра Lucia Tucci BARLETTA 1730.8 coffe gold - 33340;87160;230;Lucia Tucci;710;620;золото;прозрачный;8;60;480;классика;E14
Люстра Dio D Arte Alessandria E 1.1.6.200 G - 47052;71810;220;Dio D Arte;620;520;золото;прозрачный;6;40;240;классика;E14
Люстра Dio D Arte Alessandria E 1.1.L.16.600 G - 46658;100650;220;Dio D Arte;1220;700;золото;прозрачный;16;40;640;классика;E14
Люстра Arti Lampadari Pera E 1.3.60.2.100 MA - 37005;36780;220;Arti Lampadari;600;300;бронза;прозрачный;6;60;360;классика;E27
Люстра Dio D Arte Bari E 1.3.25.199 N - 46464;18130;220;Dio D Arte;250;250;матовый никель;прозрачный;1;60;60;классика;E27
Люстра Dio D Arte Cremono E 1.3.15.100 N - 37083;14460;220;Dio D Arte;150;380;матовый никель;прозрачный;1;60;60;классика;E27
Люстра Dio D Arte Unico E 1.3.P1.600 G - 46585;18210;220;Dio D Arte;200;720;золото;прозрачный;1;40;40;модерн;E14
Люстра Arti Lampadari Nobile E 1.3.60.2.100 WG - 37004;33770;220;Arti Lampadari;600;350;белый;прозрачный;8;60;480;классика;E27
Люстра Dio D Arte Unico E 1.3.P1.600 N - 46404;18210;220;Dio D Arte;200;720;матовый никель;прозрачный;1;40;40;модерн;E14
Люстра Arti Lampadari Todi E 1.5.50.100 G - 41009;35860;220;Arti Lampadari;500;570;золото;прозрачный;6;60;360;классика;E27
Люстра Dio D Arte Unico E 2.1.1.600 G - 46584;17210;220;Dio D Arte;200;400;золото;прозрачный;1;40;40;модерн;E14
Люстра Arti Lampadari Nobile E 1.3.40.2.100 WG - 37003;20660;220;Arti Lampadari;400;300;белый;прозрачный;6;60;360;классика;E27
Люстра Arti Lampadari Flusso H 1.4.50.616 N - 28741;41840;220;Arti Lampadari;500;300;матовый никель;прозрачный;8;40;320;модерн;G9
Люстра Arti Lampadari Asti E 1.2.40.100 G - 46581;35160;220;Arti Lampadari;400;270;золото;прозрачный;6;60;360;классика;E27
Люстра Dio D Arte Unico E 1.12.42.600 N - 37081;54790;220;Dio D Arte;420;480;матовый никель;прозрачный;6;40;240;модерн;E14
Люстра Dio D Arte Arezzo E 1.1.5.600 GB - 52847;68620;220;Dio D Arte;370;580;золото;прозрачный;5;40;200;классика;E14
Люстра Dio D Arte Lodi E 1.5.50.200 A - 27212;97100;220;Dio D Arte;500;800;бронза;прозрачный;6;60;360;классика;E27
Люстра Lucia Tucci BARLETTA 1730.15 coffe gold - 36704;195320;230;Lucia Tucci;840;855;золото;прозрачный;15;60;900;классика;E14
Люстра Dio D Arte Forli E 1.1.8.200 G - 28133;98420;220;Dio D Arte;750;600;золото;прозрачный;8;40;320;классика;E14
Люстра Dio D Arte Cremono E 1.2.25.100 N - 53148;23120;220;Dio D Arte;240;230;матовый никель;прозрачный;4;60;240;классика;E27
Люстра Dio D Arte Carisio E 1.1.18.600 GB - 42076;96370;220;Dio D Arte;1120;580;золото;прозрачный;18;40;720;классика;E14
Люстра Arti Lampadari Stella LE 1.2.50.501 G - 7646;30220;220;Arti Lampadari;500;200;золото;прозрачный;8;60;480;классика;E27
Люстра Arti Lampadari Lazio E 1.9.35.501 N - 28125;188700;220;Arti Lampadari;350;2630;матовый никель;прозрачный;20;60;1200;модерн;E27
Люстра Lucia Tucci MAYA 4450.10 chrome - 105431;130030;220;Lucia Tucci;1000;650;хром;прозрачный;10;40;400;арт-деко;E14
Люстра Dio D Arte Aosta E 1.1.6.600 G - 52826;88240;220;Dio D Arte;530;500;золото;прозрачный;6;40;240;классика;E14
Люстра Dio D Arte Colzano E 1.1.24.600 CG - 87977;290630;220;Dio D Arte;1250;800;золото;прозрачный;24;40;960;классика;E14
Люстра Dio D Arte Cremono E 1.3.14.200 G - 2107;18970;220;Dio D Arte;140;380;золото;прозрачный;1;60;60;классика;E27
Люстра Arti Lampadari Flusso H 1.4.55.615 N - 5811;46230;220;Arti Lampadari;550;780;матовый никель;прозрачный;8;40;320;модерн;G9
Люстра Dio D Arte Cremono E 1.3.14.100 G - 47245;16580;220;Dio D Arte;140;380;золото;прозрачный;1;60;60;классика;E27
Люстра Dio D Arte Belluno E 1.9.35.100 G - 53057;238420;220;Dio D Arte;350;2600;золото;прозрачный;20;60;1200;модерн;E27
Люстра Dio D Arte Alessandria E 1.1.6.600 N - 52730;56090;220;Dio D Arte;620;520;матовый никель;прозрачный;6;40;240;классика;E14
Люстра Dio D Arte Arezzo E 1.1.5.600 A - 47243;68630;220;Dio D Arte;370;580;бронза;прозрачный;5;40;200;классика;E14
Люстра Dio D Arte Tesoro H 1.4.50.200 N - 26175;93130;220;Dio D Arte;350;520;матовый никель;прозрачный;8;40;320;модерн;G9
Люстра Arti Lampadari Flusso H 1.4.45.615 N - 5393;28180;220;Arti Lampadari;450;650;матовый никель;прозрачный;6;40;240;модерн;G9
Люстра Dio D Arte None E 1.1.6.600 GB - 47244;45160;220;Dio D Arte;560;550;золото;прозрачный;6;40;240;классика;E14
